"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"87","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 06:21:16,FALSE,NA,"1066577539143856128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","berryp9681",4068,TRUE,FALSE,NA,NA
"88","RT @aransistore: 10명중 4명이 사먹는 물 '삼다수'..이르면 다음주부터 마트·편의점서 못산다 | 다음 뉴스 https://t.co/DdvhkMZdui

불합리해 보이고 괜한 피해를 보는 것 같아도, 결국 근로자 안전을 평소에 못 챙기…",FALSE,0,NA,2018-11-25 06:19:47,FALSE,NA,"1066577166274453506",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tomo999",3289,TRUE,FALSE,NA,NA
"89","RT @snfoflgys: 트친님들 대한통운에서 물건 배송시키지 마세요  물건 그냥 개박살 나서 옵니다...이거 딱봐도 충격으로 인한 파손이에요ㅠㅠ 그냥 집어 던졌나보네요ㅠㅠ 하...파손 쉬운물건이랑 가격 10만원 이렇게 붇여놨는데 하...진짜...…",FALSE,0,NA,2018-11-25 05:46:43,FALSE,NA,"1066568845597392896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dldpgod031",68,TRUE,FALSE,NA,NA
"90","cj대한통운, 대전터미널 안전·작업환경 개선 … 25일부터 재가동 https://t.co/1lqxLf1e5i",FALSE,0,NA,2018-11-25 05:46:06,FALSE,NA,"1066568691435757569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","speconomy",2,FALSE,FALSE,NA,NA
"91","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 05:46:03,FALSE,NA,"1066568680425906176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whatthesal",4068,TRUE,FALSE,NA,NA
"92","CJ대한통운, 독거어르신에 ‘손수 담근 김장김치’ 전달 https://t.co/x3sTLABJv9",FALSE,0,NA,2018-11-25 05:44:32,FALSE,NA,"1066568294998528000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","speconomy",0,FALSE,FALSE,NA,NA
"93","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 05:43:29,FALSE,NA,"1066568033882189825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","onigiri_yammy",4068,TRUE,FALSE,NA,NA
"94","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 05:34:06,FALSE,NA,"1066565672782589954",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cushty0aught",4068,TRUE,FALSE,NA,NA
"95","RT @soonhearim: CJ대한통운 택배기사들 ""경찰 물리력에 부상자 발생"" 주장 https://t.co/jLVkL5DYHu",FALSE,0,NA,2018-11-25 05:30:09,FALSE,NA,"1066564678820651008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unimog10",5,TRUE,FALSE,NA,NA
"96","RT @soonhearim: CJ대한통운 택배기사들 ""경찰 물리력에 부상자 발생"" 주장 https://t.co/jLVkL5DYHu",FALSE,0,NA,2018-11-25 05:27:32,FALSE,NA,"1066564018364538880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pierkor",5,TRUE,FALSE,NA,NA
"97","RT @soonhearim: CJ대한통운 택배기사들 ""경찰 물리력에 부상자 발생"" 주장 https://t.co/jLVkL5DYHu",FALSE,0,NA,2018-11-25 05:25:10,FALSE,NA,"1066563423540920320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ogennki111",5,TRUE,FALSE,NA,NA
"98","RT @snfoflgys: 트친님들 대한통운에서 물건 배송시키지 마세요  물건 그냥 개박살 나서 옵니다...이거 딱봐도 충격으로 인한 파손이에요ㅠㅠ 그냥 집어 던졌나보네요ㅠㅠ 하...파손 쉬운물건이랑 가격 10만원 이렇게 붇여놨는데 하...진짜...…",FALSE,0,NA,2018-11-25 05:25:05,FALSE,NA,"1066563402770735104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Begopa_bob_jo",68,TRUE,FALSE,NA,NA
"99","CJ대한통운 택배기사들 ""경찰 물리력에 부상자 발생"" 주장 https://t.co/jLVkL5DYHu",FALSE,3,NA,2018-11-25 05:23:08,FALSE,NA,"1066562911114473472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soonhearim",5,FALSE,FALSE,NA,NA
"100","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 05:21:38,FALSE,NA,"1066562534717644811",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ff14_wonnie",4068,TRUE,FALSE,NA,NA
